"attraction_id","rating","review","review_date","user"
"88","2.0","Quebec City tour. Really not worth the money. The view of the city is much the same from the ferry for $7 round trip for two. We were very far from the waterfall and the bus or a bicycle tour takes you much closer. We did meet nice...","August 16, 2018","dond528"
"88","1.0","Way too crowded!!!!. There weren't enough seats for the travelers booked. The boat left 5 minutes ahead of schedule departure time. My friend and I could only find seats inside (it was a very hot day, and there were no fans or air conditioning for those seats.\nThen...","August 11, 2018","irene_m"
"88","3.0","Crew was awesome. The guide David and crew were excellent. David was very knowledgeable and added a lot of humour to the tour. Unfortunately I think the actual tour was a bit boring not much to see. The falls were interesting and the view of Le chateau Frontenac....","August 2, 2018","j_p"
"88","3.0","Half of a Cruise - Bus tour. The cruise portion of the tour was from Old Quebec which you can reach via the Funicular or a flight of steps. The cruise is about 1-1/2 hours with a good commentary in both English and French. It gives you a good view of Montmorency...","July 23, 2018","semi-oldtraveler"
"88","5.0","River Retreat.... Nice relaxing way to view Old Quebec City from a boat. 90-minute cruise was historical and informative. We learned much about Canada and Quebec City from the tour guide dressed in historical garb. The day we went was brutally hot (about 104 degrees with the...","July 13, 2018","susiedlowell_ma"
"88","5.0","nice quick cruise. It was a good backup to the dinner cruise. We enjoyed our tour up and down the St. Lawrence and learning more about Quebec.","July 9, 2018","walterstewart1952"
"88","2.0","Quebec City Cruise. We took the last cruise of the day - 4pm departure - and were disappointed. Although the operators had no control over the heat wave Quebec was experiencing, because it was the last cruise of the day, the lounge on the second level was shut...","July 3, 2018","595marcyb"
"88","4.0","Nice boat ride. Had beautiful weather for our 90 min cruise and enjoyed it very much. The waterfall is underwhelming, and you will not get anywhere near it but see it from a distance. Take another tour is that is your objective. We got a nice view of...","June 28, 2018","beth_u"
"88","4.0","A different view of quebec. I booked this rather last minute. I was surprised at how large the boat was. Lots of space to sit, inside and out. Even a bistro, bar and store on board. Great information too. But with so many on board it takes a long time...","June 24, 2018","vickie_bernie"
"88","5.0","A good value and great views of Quebec City . We took this boat trip during the day. It took about 90 minutes. The views of Quebec City were great and the guide did a great job of talking about the history of the area. The food was not great but was adequate. We had...","June 24, 2018","bsturges"
"88","5.0","Very enjoyable 90 minute cruise. My family really enjoyed this cruise. It is a 90 minute cruise that you pick-up from lower town. You exchange your vouchers at the ticket booth for actual tickets and then get on line in time for your boarding. Our cruise was not crowded at...","June 24, 2018","ray212"
"88","5.0","Don't Miss This!. Excellent way to spend part of a sunny day. Scenic, relaxing, educational. This should be near the top of any visitor's list for things to do in Quebec City.","June 22, 2018","trailblazernc"
"88","4.0","Short, pleasant, huge waterfall. We were surprised that the cruise covered so little of the St. Lawrence, but it was pleasant enough. You float to the monstrous waterfall (go by car?) and return quickly. The commentary is necessarily slow--both English and French--so most people didn't listen. The gift shop...","June 10, 2018","writingprof"
"88","5.0","Our first tour of the morning. What an enjoyable way to start the morning!\nThe staff and ship were great.\nThey offered food , coffee , wine and snacks on board.\nThe ship was very clean as were the restrooms.\neveryone very friendly and welcoming from the moment we boarded until...","June 5, 2018","peggy_l"
"88","5.0","An amazing way to spend the afternoon. We did the 1.5 hour river cruise having previously done the open top bus tour of the city. The river cruise was definitely the better experience. Very informative and friendly live guide who gave us loads of information and lots to see from the river....","May 17, 2018","adocuk"
"88","3.0","nice river cruise. This cruise leaves from Lower Old Town in Quebec City and lasts about an hour and a half. It has seating both inside and outside. It’s a pleasant ride, and you get river views of such sights as the Chateau Frontenac on its impressive hill,...","November 19, 2017","lisa_y"
"88","3.0","Sightseeing cruise from Quebec City. We took the 90-minute guided sightseeing cruise from Quebec City and sat outside in the bow where we had a good view. A costumed guide provided information in English and French about the scenery and history of the area but his descriptions were delivered at...","November 2, 2017","vickianne_11"
"89","5.0","so relaxing and enjoyable. This was a lovely way to see the skyline of Toronto and learn all kinds of historical and archeological facts.","December 11, 2018","mkr59"
"89","4.0","Excellent Photo Opportunity. The tour was not very long, but you have a unique opportunity for amazing photography! The guided were knowledgeable and the captain very professional. Only complaint is the your way pretty short.","October 21, 2018","angfromokla"
"89","5.0","Good Panoramic View of Toronto. It's the best way to get a panoramic postcard view of the city and its island. The narration was very insightful and I learnt a lot about the city and its history.","September 6, 2018","sarah_z"
"89","5.0","It was awesome. Tour was awesome with really good speech. I would highly recommend for whole family. Really good and clear views of Toronto sky line.","August 20, 2018","umangrdesai"
"89","5.0","Awesome.. The view seen from ride of north of Toronto was excellent in understanding spread of the city and skyline.","July 9, 2018","pvp60"
"92","5.0","Fantastic Trip would repeat in a heart beat. We enjoyed both the coach journey through the beautiful countryside with Yves our driver and the whale watching almost equally. We stopped for lunch at the train station and had the best almond croissant I have ever had and the best roast beef sandwich -...","October 18, 2018","dawn21"
"92","5.0","Most amazing day I will treasure for the rest of my life!. The bus driver Yves was very entertaining and a lovely man. The trip was beautiful and we stopped a few times to take photos and toilet breaks.\nAll the staff were lovely and helpful.\nWe saw many pods of Fin whales and Minky whales, and...","October 12, 2018","jayneb1019"
"92","5.0","Quebec City day trip to see whales. Coach journey approaching 3 hours each way. Choice of proper boat or zodiac. The zodiac is a zippy nippy racing skiff and definitely the one to choose! We saw seal, minke whale, fin whale, baby beluga whale and 9 hump back whale: A-MAZING.\nWorth coming...","October 9, 2018","r4394xqmichaelm"
"92","5.0","Amazing. This tour was absolutely amazing! I went on the zodiac cruise and highly recommend it. Yes the way there and back on the bus is long and it is a full day activity but it goes through amazing scenery and especially now that fall has...","September 30, 2018","katja_s"
"92","5.0","Whales, whales and more whales!. Whale watching does not get much better than this! From our delightful and informative bus driver Allen, to Catherine, our naturalist, the day was about as perfect as it gets. We were treated to a visual feast of different kinds of whales, including belugas. Because...","September 29, 2018","kathy_p"
"92","5.0","Extremely Satisfying. My wife and I went on the Zodiac cruise and were thrilled with our experience. Our bus driver was very funny and transitioned smoothly between English and French, and we saw far more on the water than we were expecting. The crew were friendly and...","August 19, 2018","calvin_b"
"92","4.0","Could be 5 stars. We booked our tour through Old Quebec Tours. OQT provides transport to and from the whale watching boats.\nOur driver, Alain, was personable, organized, patient and kept a good schedule and clean bus. He stopped both ways for restroom breaks and snacks. 5 stars for...","August 9, 2018","julieanne731"
"92","5.0","Magnificent!. You have to do this once in your lifetime! We took the bus from Place d'Armes in Old Quebec out to the St. Lawrence river. It was a long bus ride but the driver was a very good guide and had lots of information about...","August 9, 2018","dallismarie"
"92","5.0","Sensations Galore!. We were picked up by a very personable, funny and confident driver and guide named Allan. He spoke both English and French very well. On the way he kept us informed about the country and it’s history. We stopped briefly at a Cheese House for...","July 26, 2018","theresa_d"
"92","5.0","Fantastic day. We had a fantastic day , the journey was great at you get to witness some fantastic scenery.\nWhen we were there we went on the Zodiac boat and saw a humpback whale, seals and loads of minky wales, fin wales and a porpoise. The...","July 14, 2018","t_s"
"92","5.0","A Whale of an Experience.. Safety was key points made. Crew was certainly interested and persistent in all of us seeing the whales and seals.\nManuevered boat so everyone could see or indicated quickly where to look.\nShould have worn gloves as was recommended. College student narrator was excellent and...","July 8, 2018","40galem"
"92","5.0","Who needs an aquarium, when you can see the real thing!. We arrived in Quebec City at the start of a real heat wave. Unfortunate since my wife and I traveled to QC from Florida to escape the heat. The whale tour gave us the break we needed. A wonderful three-hour boat trip on the St....","July 7, 2018","adamhollingsworth"
"93","5.0","High-fived a humpback whale (almost). We had the experience of a lifetime with our fantastic guide Ian.\nI bought this as a surprise birthday gift for my boyfriend on the 7th of November, and to our surprise we were the only people who had booked the tour, so luckily had...","November 19, 2018","marthaclare_"
"93","5.0","Amazing Whale Watching!. Springtide whale watching provides such an amazing experience for their customers. Their staff and volunteers are all amazing, especially the volunteer Alyssa. She was extremely kind and helpful. I had such a fun time on the boat learning about the wildlife surrounding Victoria. Definitely would...","October 25, 2018","georgiabullbrook"
"93","5.0","Awesome!!. Fantastic, Marcus and Heather with their wealth of experience and passion for these magnificent animals, made our trip .\nWe had the most perfect day very calm and overcast the orcas came that close it was everything we could have wished for .\nThank-you Chris...","October 22, 2018","noelarose13"
"93","5.0","Awesome !!!!. We set off with high hopes knowing there are resident pods of Orcas close by and we were not disappointed. We were out in the boat for a long time (few hours but just lost track of time) - saw Orcas - one breached -...","October 19, 2018","eileenw837"
"93","5.0","Orca and whale tour. Did the orca and whale tour on an a perfect Octobers day. The tour was very professionally run with great commentary from nature guides who answered many questions and gave great insights to both orcas and whales. We very very lucky to see both species...","October 15, 2018","simbar80"
"93","5.0","Amazing experience!. A truly amazing and unforgettable experience! Very professional crew that shared their extensive knowledge, making it even more enjoyable. Spent 3 hours and lost count of the number of whales we saw besides seals and sea otters!","October 14, 2018","trevor_s"
"93","5.0","Great experience. We took the largest boat (61 ft) and spent a fantastic 3 hours finding Humpback whales and Orcas, visiting the sea lions, seals and even saw an Otter.\nThe boat is very comfortable, fast, warm if you need to be and perfect for the job....","October 13, 2018","deb_h"
"93","5.0","A fantastic adventure. The crew were really passionate about all aspects of nature and had great knowledge and enthusiasm for whale watching, which they willing shared with all passengers on this awesome trip. They made every effort, including running overtime to follow sightings from other sources, which enabled...","October 5, 2018","gordon123463"
"93","5.0","Words can’t describe. On a wonderful holiday in Canada this trip was the crowning glory. Having been on whale watching trips in other places in the world and not seen very much so I was prepared for the same to happen here. We were in a group tour...","October 5, 2018","nicola_b"
"93","5.0","A wonderful experience. We thoroughly enjoyed our trip. The boat was comfortable and the crew knowledgeable. We saw lots of Orcas and Marcus gave us an interesting and informative talk on the way back to Victoria. A splendid way to spend 3 hours. Marcus also posts pictures from...","October 5, 2018","trb876"
"93","5.0","Fantastic trip. Heather and Marcus were fantastic narrators on this trip. We were informed that killer whales had been spotted earlier in the day so we would have to travel at least an hour to get to them. What a wait though as we saw at least...","October 3, 2018","alison_b"
"93","4.0","Whales worth the chill. We saw 6-7 whales, mostly as the surfaced for air which meant that they showed their tails. Rather chilly on the water but there were hot drinks and jackets on the boats to ensure our comfort. We moved away from where the whales were quite...","September 15, 2018","canada044"
"93","5.0","A Great Introduction to Canada. We had the pleasure of taking a whale watching tour in early August. This was our first activity on our Canada Alaska trip and it was a great introduction. Not only did we see whales and orcas but we learnt so much more from our...","September 4, 2018","mrpbps"
"93","5.0","Wow!. We went on the cruiser with Ian as captain and Marcus telling us what we are seeing. We saw orcas everywhere. We saw a pod attack a porpoise and we saw the orcas playing. One came right up along side the boat. We saw a...","September 3, 2018","kellyk36"
"93","5.0","Superb and knowledgeable persons. Could not have enough luck to watch the whales but both the persons on board were extremely polite and so much of knowledge about whales and everything we had to ask for. Must visit the site with them","August 19, 2018","pankajsahi"
"93","5.0","Whale watching. Best trip ever. Saw orcas hump back sea otter named Harry and big sea lions. Staff were so friendly and knowledgeable about sea life. Hot chocolate was an extrA bonus","August 19, 2018","leanndooley"
"93","5.0","Whale watching. Had a fantastic trip today with Springtide. My kids will never forget seeing the orcas. Thanks to Megan and Marcus. Really friendly and informative guides.","August 18, 2018","z8261cdcolins"
"93","5.0","Orcas. We really enjoyed our 3 hour whale watching tour. The tour was narrated by Marcus who is a Marine Biologist, he certainly knew his topic! After a short trip we were excited to see many orcas frolicking in the water. The boat had plenty of...","August 18, 2018","jodz04"
"93","5.0","Simply the best. Went out with Marcus and Heather today. All the crew are very welcoming and very professional. The boat is well maintained and super fast, which comes in handy when reports of whales are received. We were lucky as we saw three large humpbacks for a...","August 16, 2018","magpie051"
"93","5.0","Saw orcas and humpback whale. Went on the 10:00 am tour and had a great time! We saw orcas and humpback whales. The staff was very professional, friendly and helpful. Our guide Marcus was very knowledgeable and made sure we were informed and entertained the whole trip. I would highly...","August 15, 2018","isabelle_n"
"93","5.0","Excellent trip and company, highly recommended!. We went on the afternoon whale watching tour on their purpose built covered whale watching boat. It was an amazing experience, within 20 mins we were watching a beautiful pod of Orcas and then later on several Humpback whales in every direction around the boat....","August 13, 2018","simon33333"
"93","5.0","Chose to go with Springtide Whale Watching and wasn't disappointed.. Whales and seals, the commentary was made by the naturalist Marcus. He was very informative and funny, made the trip so much better. The travel time can be long but Marcus made sure we were informed and entertained. Make sure you ask for him to...","August 13, 2018","nymes"
"93","5.0","Loved it !! . We are so glad we chose this company as warm, friendly and knowlegable. We went on a 2pm trip for 3 hours plus through the harbour and saw both orcas and humpbacks. Heather and marcus were the guides and so interesting and informative. We would...","August 12, 2018","kldub"
"93","5.0","Great Service, great boat, great guides!. We had a great time with Springtide. We went on their boat with a cabin. Very comfortable, lots of choices of seating (inside, outside, on the deck), and a more comfortable ride for my husband who has back issues (a zodiac would not be a...","August 10, 2018","carmichaeltravelers"
"93","5.0","Great Experience!. Went on a tour with Springtide and had a great time. The boat and wildlife seen was incredible (Orcas and sea lions!). What made the tour even better was the tour guide Marcus, his passion and love for these animals really made everyone happy to...","August 9, 2018","aina_traveling"
"93","5.0","Highly recommended!. This was my first Whale watching tour. I was travelling solo and aboard the Zodiac vessel. In my experience it was better being closer to the water, Zodiac is easier to maneuver so we were always close to the action, and action there was! Our...","August 9, 2018","ricky_a"
"93","5.0","Amazing Trip!. We have been on a number of whale watching cruises and we could not recommend Spring Tide more! We had excellent conditions and the Skipper, Ian, was extremely knowledgeable and made the experience all the more better. The staff were super friendly and were easily...","August 8, 2018","lisashannon94"
"93","5.0","Wonderful crew and boat. The ship is large enough to provide a comfortable ride and yet small enough to provide an up close view of the orcas. The crew was very friendly and informed.","August 6, 2018","fdogusa"
"93","5.0","Great Experience. Even though the sea fog rolled in we were lucky enough to see Sapphire and Scratchy feeding and diving for a considerable amount of time. The smell of Scratchy’s fishy breathe will always be a ‘fond’ memory for us. Unfortunately we didn’t see orcas during...","August 5, 2018","specialbirthday"
"93","4.0","An Afternoon with Killers. Got to see Orcas during our trip with Springtide. The whole experience was fabulous. Heather and Marcus infused the trip with a certain energy and loads of facts. Would recommend the more spacious and comfortable Marauder. (Hot chocolate on the house too).\nWe saw Orcas...","July 30, 2018","harryrao"
"93","5.0","Amazing afternoon with orcas. My wife and I were recently in Victoria, and decided to go whale watching hoping to see the famous orcas. It was a beautiful calm day - a really summer day on the water. We chose the bigger boat so to be more comfortable and...","July 21, 2018","antonb1997"
"93","5.0","Great Experience. Our family enjoyed three great hours watching numerous Orca’s, a sleeping whale, see lions, seals. The crew was very hospitable sharing a lot of knowledge but also serving cofee/tea/hot chocolate. Heather and Marcus were great guides. We were also lucky with the calm sea and...","July 20, 2018","sipko2016"
"93","5.0","Fantastic three hours. We booked this tour during our two day stop in Victoria and it more than lived up to our expectations. Really nice boat and knowledgeable crew of Captain Ian and naturalists Marcus and Heather. Within minutes of leaving the Harbour the crew received news of...","July 20, 2018","angela_r"
"93","3.0","We saw some fins. First off, let me say something that applies to all whale watching tours in Victoria. You most likely are NOT going to see the whales frolicking like you see in the brochures! This is not sea world.These are wild animals, and you're not going to...","July 7, 2018","paul_u"
"93","5.0","Calm waters....MANY whales!. This was our lucky day. Mark, our guide, said that rarely is the water this calm. We were looking forward to a more ""choppy ride"" on the Zodiac, but because the water was so calm, it wasn't so adventuresome! However, the many whales we saw...","July 5, 2018","jody_a"
"93","5.0","Absolutely fabulous trip with wonderful views of humpbacks . We made a spontaneous booking with Springtide when over in Victoria and it was a wonderful experience. The crew were all lovely and clearly passionate about what they do. We were lucky to get several sightings of a humpback and we came across two more...","July 2, 2018","katherinefrench"
"93","4.0","Great crew. We took this tour as an excursion from a Western Canada tour we were on. Our time slot was in the afternoon, I'm sure this contributed to the lack of wildlife seen. We were sprinting out towards a last know pod spotting but were unable...","June 29, 2018","samsmom1103"
"93","5.0","Marine Biologists on the crew. Well staffed, courteous crew that offered coffee and hot chocolate while heading out to the orca's location.\nThe two marine biologists on crew went around greeting passengers and explained where we were going and asked if anyone had questions. They patiently answered questions and enthusiastically...","June 23, 2018","amazonblue"
"93","5.0","First Ever Whale Watching Experience. Since this was my first whale watching experience, I didn't really know what to expect but I must say that I was pleasantly surprised! The boat was nice and comfortable and the staff were VERY friendly and knowledgeable thus creating quite a welcoming experience! We...","June 13, 2018","kbdon01"
