,attraction_id,name,country,province,city,location__lat,location__lng,price,rating
0,0,vancouver_city_sightseeing_tour,canada,british_columbia,vancouver,49.1978322,-123.0649959,80.0,4.5
1,1,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,canada,british_columbia,vancouver,49.1978322,-123.0649959,210.0,5.0
2,2,quebec_city_and_montmorency_falls_day_trip_from_montreal,canada,quebec,montreal,45.5001458,-73.5720264,115.0,4.5
3,3,niagara_falls_day_trip_from_toronto,canada,ontario,toronto,43.6561507,-79.3842642,169.0,5.0
4,4,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",canada,ontario,niagara_falls,43.0857136,-79.0824311,158.0,5.0
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,canada,ontario,niagara_falls,43.102436,-78.961638,204.42,5.0
6,6,whistler_small-group_day_trip_from_vancouver,canada,british_columbia,vancouver,49.1978322,-123.0649959,145.0,5.0
7,7,ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch,canada,ontario,niagara_falls,43.0857136,-79.0824311,317.42,5.0
8,8,"local_food,_craft_beverage_and_estate_winery_tour_of_cowichan_valley",canada,british_columbia,vancouver_island,,,150.0,5.0
9,9,private_tour:_vancouver_to_victoria_island,canada,british_columbia,vancouver,49.2869235,-123.12216,670.0,5.0
10,10,"private_custom-made_niagara_falls_wine,_beer,_and_spirits_tour",canada,ontario,niagara_falls,,,139.0,5.0
11,11,vancouver_seaplane_tour,canada,british_columbia,vancouver,48.4241277,-123.3707833,135.0,5.0
12,12,niagara_falls_grand_helicopter_tour,canada,ontario,niagara_falls,43.1888394,-79.1714688,131.5,5.0
13,13,whistler_helicopter_tour,canada,british_columbia,whistler,49.1830074,-123.176599,187.95,5.0
14,14,niagara_falls_helicopter_tour,canada,ontario,niagara_falls,43.1186039,-79.0743842,145.0,4.5
15,15,7-minute_helicopter_tour_over_toronto,canada,ontario,toronto,43.632485,-79.3956627,123.18,4.5
16,16,seaplane_flight_to_victoria_and_whale-watching_cruise,canada,british_columbia,vancouver,48.4241277,-123.3707833,469.0,5.0
17,17,ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch,canada,ontario,niagara_falls,43.0857136,-79.0824311,317.42,5.0
18,18,niagara_falls_airplane_tour,canada,ontario,niagara_falls,43.1897478,-79.1701169,129.0,5.0
19,19,airliner_adventures_package,canada,ontario,toronto,,,129.0,-1.0
20,20,yukon-northern_lights_4-days_adventure_in_whitehorse,canada,british_columbia,vancouver_island,49.2869235,-123.12216,-1.0,-1.0
21,22,vancouver_to_seattle_seaplane_flight,canada,british_columbia,vancouver,48.4241277,-123.3707833,370.5,-1.0
22,23,14-minute_helicopter_tour_over_toronto,canada,ontario,toronto,43.632485,-79.3956627,258.78,5.0
23,24,victoria_and_butchart_gardens_by_helicopter_and_speed_boat,canada,british_columbia,vancouver,49.284751,-123.1394811,579.0,5.0
24,25,mount_mamquam_and_alpine_lakes_seaplane_tour_from_vancouver,canada,british_columbia,vancouver,48.4241277,-123.3707833,369.0,4.5
25,26,helicopter_tour_over_montreal,canada,quebec,montreal,45.5313457,-73.4114329,179.0,5.0
26,27,squamish_explorer_flightseeing_tour,canada,british_columbia,squamish,49.783335,-123.159769,162.75,5.0
27,28,victoria_excursion_from_vancouver_by_helicopter_and_sea_plane,canada,british_columbia,vancouver,49.284751,-123.1394811,699.0,-1.0
28,29,"niagara_winter_wonderland_tour_-_air_tour,_winery_tour,_chocolate_factory_tour",canada,ontario,niagara_falls,43.1897478,-79.1701169,144.5,-1.0
29,30,thousand_islands_two_castle_helicopter_tour,canada,ontario,things_to_do_in_gananoque,44.3474018,-76.1751743,265.64,5.0
30,31,helicopter_tour_over_mont-tremblant,canada,quebec,mont_tremblant,46.1141489,-74.5413873,171.31,5.0
31,32,sechelt_panorama_seaplane_experience,canada,british_columbia,sunshine_coast,48.4241277,-123.3707833,119.0,-1.0
32,33,victoria_and_butchart_gardens_by_seaplane_and_speed_boat,canada,british_columbia,vancouver,49.284751,-123.1394811,489.0,5.0
33,34,whistler_day_trip_by_seaplane_from_vancouver,canada,british_columbia,vancouver,48.4241277,-123.3707833,409.0,4.5
34,35,whales_&_fly:_whale_watching_from_vancouver_to_victoria_&_return_seaplane_flight,canada,british_columbia,vancouver,48.4227209,-123.3689786,447.57,5.0
35,36,vancouver_to_victoria_by_seaplane_and_ferry,canada,british_columbia,vancouver,48.4241277,-123.3707833,289.0,4.5
36,37,seaplane_flight_to_victoria_with_ground_transport_and_butchart_gardens_admission,canada,british_columbia,vancouver,48.4241277,-123.3707833,449.0,5.0
37,38,helicopter_ride_over_the_falls_and_sit_down_meal_at_elements_located_on_falls,canada,ontario,niagara_falls,40.751976,-73.986603,265.84,-1.0
38,39,quebec_city_helicopter_tour_over_montmorency_falls,canada,quebec,quebec_city,46.799969,-71.3723555,218.4,4.5
39,40,seaplane_flight_to_vancouver_with_bus_tour_from_victoria,canada,british_columbia,vancouver_island,48.4241277,-123.3707833,439.0,5.0
40,41,vancouver_to_victoria_seaplane_flight,canada,british_columbia,vancouver,48.4241277,-123.3707833,218.0,5.0
41,42,victoria_to_vancouver_seaplane_flight,canada,british_columbia,vancouver_island,48.4241277,-123.3707833,218.0,5.0
42,43,toronto_aerial_tour_in_luxury_with_a_niagara_falls_winery_tour_and_tasting,canada,ontario,toronto,56.130366,-106.346771,189.0,-1.0
43,44,air_taxi_and_tour_from_toronto_-_niagara_including_ground_transport_to_niagara_hotels,canada,ontario,toronto,43.1897478,-79.1701169,563.87,5.0
44,45,tofino_to_vancouver_seaplane_flight,canada,british_columbia,vancouver,48.4241277,-123.3707833,299.0,-1.0
45,46,whistler_to_vancouver_scenic_flight,canada,british_columbia,whistler,50.1436794,-122.9485982,208.01,-1.0
46,47,exhilarating_120km_aerial_tour_of_toronto,canada,ontario,things_to_do_in_markham,56.130366,-106.346771,79.0,5.0
47,48,boldt_castle_and_thousand_islands_helicopter_tour,canada,ontario,things_to_do_in_gananoque,44.3474018,-76.1751743,172.84,5.0
